country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,31.3,28,28.5,28.1,30.5,27.6,24.8,34.1,28,23.5,24.3,21.9,25.9,23.8,21.6,20.1,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,64.4,68.5,73.6,72,65.1,60.9,54.1,52.1,52.3,50.4,55,54,50.9,44.1,44.1,43.9,,,
Djibouti,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1,43.1,,52.5,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,8.75,,10.8,10.9,,15,14.2,13.8,,17.7,17.5,,9.07,10,9.83,9.74,9.66,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,361,344,,840,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,31.3,32,,24.6,24.5,22,17.7,18,,18.6,20,21.9,21.1,24.2,17.1,24.8,30.7,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,,,,,,,,,,,,350,279,312,300,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,37.3,35.7,35.9,35.4,34.6,32.9,32,30.5,31.1,37.1,36.8,36.3,36,35.3,35.6,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,29.4,28.9,29.2,34,34.1,33.5,33.7,35.1,35.9,38.8,37.2,36.3,35.4,35.1,34.6,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,146,,,,,,210,85.3,92.2,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,10.5,14.6,,,,11.4,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,36.5,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,192,224,179,147,,91.6,130,87.1,74.8,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,24.5,19.9,18.3,22.9,20.6,23.3,18.6,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,19.9,21.7,21.9,17.4,19,18.1,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,230,,,63.5,95,101,106,70.4,96.2,94.8,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,,27.1,21.9,,25.4,13.8,12.4,13.7,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,,47.4,51.2,46.1,40.5,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,33.5,34,32,31.4,31.1,23.9,23.3,23.3,23.6,24.2,27.6,24.7,28.1,20.8,24.7,22.8,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,34.1,33.9,33.2,29.5,26.6,27.7,25.6,26.3,27.1,28.2,27.2,23.2,25.6,25.5,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9,,,71,63.6,60.4,57.6,,,78.1,72.3,61.5,54.3,49.2,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,,,,,,,,,22.3,16,19.8,21.9,,23.4,21.6,19.5,28.6,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,35.5,29.5,23.7,20.4,25.9,23.6,17.2,18.4,15.4,17.2,15,12.3,13,13.4,18.3,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,27.9,29.7,27.1,25.1,22.8,22.2,23,24.7,25.4,31.7,36.1,31.4,29.4,29.3,25.2,22.2,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,29.2,27.5,27.1,23.7,26.1,22.1,21.2,21.6,21.2,19.9,20.8,19.8,19.2,19.2,20.1,19.1,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,26.5,25.6,24,25.3,22.4,21.6,21.1,22.1,20.9,23.6,24.3,24.4,24.2,,26.2,26.2,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,59.9,33.1,38.2,58.4,,,44.2,57,54.7,49.6,38.6,41.3,,35.8,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,14.5,16.9,16.6,16.5,18.9,19.8,18.4,18.3,19.4,20.3,,24.4,23.4,24.5,24.2,24.6,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,,,,,,,,,,,,,,,,,,,23.3,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,9.57,9.23,11.3,9.9,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,226,,,276,,,,,,,,,,,,,
Kiribati,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3,,,,,125,133,113,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,24.2,15.7,17.2,20.8,22.3,22.8,21.9,22.3,22.6,19,19.6,18.9,,18.4,17.4,5.59,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,69.8,110,85.2,,,,,,,20.9,14.6,19.1,14.6,21.5,20.2,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,31.6,27,22.3,19.4,18.1,13.5,11.6,,14.3,14.7,15.6,12.4,12.5,15.8,22.1,24.2,21.6,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,,16.7,18.5,17.9,14.4,12.2,9.84,9.41,9.23,15.3,17.7,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,771,730,,,,,1020,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,22,,10.3,9.17,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9,,,,33.8,32.2,19.8,19.3,16.9,15.8,15.5,15.3,16.1,16.7,18.3,17.8,18.6,20.1,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,154,,,,,,,158,161,143,144,147,,95.3,103,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,2530,1890,,,,,,,,,1470,1190,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,187,,,,,,,,,114,117,129,175,115,112,152,165,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,,,44.2,,25.1,,,37.5,42.6,45,56.3,39.3,49.7,51.1,47.3,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,,88.2,,,,,,,,,169,,168,90.1,72.8,69.8,,95.9,98.9,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,34.3,47.1,43,28.4,21.8,,15.2,15.6,12.4,9.25,8.39,8.77,10.8,11.1,,10.5
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,41.3,,32,44.1,41.3,38.5,39,36.8,38.3,39.3,44.1,41.7,37.3,38.4,38.9,41.3,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,39,38.2,45.3,44.8,42.9,41.8,,39.2,,37.6,
Monaco,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,0,0,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,30.2,,18.3,,,,,,5.08,2.85,16.4,13.2,11.2,7.93,10.6,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,92.9,100,,,,,,,,,82.2,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,259,,,,,,131,145,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,16.7
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,84.9,99.1,,,119,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,102,76.8,63,,,,,47.1,51.1,32.8,31.7,,22.8,27.8,25.4,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,,,,,,,,,,,,,,29.1,27,27.1,,
Niger,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,377,568,409,443,451,563,571,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46.5,44.9,38.6,42.9,47.1,48.5,50.3,48,43.7,45.7,45,47.5,43.4,41.5,,39.6,42.7,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,55.6,,,,,,22,13.9,,,,42.9,,,,,,,42.8,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7,51.8,59.9,27.3,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,30.9,28.5,31.6,,25.8,,,,,,,19.7,19,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,40.6,24,26.4,21,,,22.4,,,19.3,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,12.5,12.5,9.28,11.2,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,14.5,13.2,14.1,13.8,12.2,11.2,,9.27,9.7,10.5,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,20.9,17.5,18,21.1,19.7,21.2,21.3,16.9,16.4,18.2,18.6,20.4,20.1,21.3,24.1,25.5,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,25.8,26.2,23.8,24.8,22,25.3,26.8,32.1,25.5,29.2,30,26.9,,25,26,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,26,22.6,21.7,23.1,,25,,21.8,19.9,19.4,21.9,23.1,23.2,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11.9,11.4,10.9,12.7,13.2,,14.3,,,,14.6,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,,,,,318,,248,204,,177,119,91.3,97.3,,,8.46,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,121,188,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,8.68,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,41,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,207,,166,215,245,183,173,257,220,236,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,39.8,40.8,42.9,41.5,40.1,,,35.8,,
Seychelles,0,0,0,,0,0,0,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,543,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,27.4,26.1,25.9,22.4,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3,,32.3,28.2,30.2,30.3,28.2,31.4,23.4,23.9,19,17.8,18.2,18.6,18.9,19,20,21.5,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,25.1,24.9,24.4,21.9,21,20.5,20.7,23.9,23.7,25.1,22.6,21,21.8,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,37.9,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,7.68,,,4.54,8.35,7.95,,8.97,8.49,9.51,12.2,,,,,,16.1,,
